MESSER|36489|0
MESSER|31475|1589
MESSER|25042|1599
MESSER|19800|0
MESSER|14198|711
MESSER|13262|0
MESSER|12716|0
MESSER|12636|0
MESSER|10834|543
MESSER|10735|545
MESSER|9771|482
MESSER|9767|0
MESSER|9647|0
MESSER|9625|485
MESSER|8672|0
MESSER|8290|241
MESSER|8131|522
MESSER|7043|0
MESSER|6208|350
MESSER|5064|0
|5002|249
MESSER|4984|0
MESSER|4800|0
MESSER|4760|0
MESSER|4728|266
MESSER|4232|0
MESSER|4228|288
MESSER|4064|0
|4040|280
MESSER|3848|0
MESSER|3784|223
MESSER|3768|171
MESSER|3752|194
MESSER|3728|0
MESSER|2736|117
|2400|150
MESSER|2096|112
|2064|108
|1848|156
MESSER|1544|68
|1496|112
|1440|105
|1256|106
MESSER|1208|0
|1128|91
|1104|88
ADF|1096|37
MESSER|1040|0
|752|69
MESSER|640|30
|632|79
DRK|608|51
MESSER|584|48
|552|69
|512|39
|368|46
|112|13
|88|11
|80|10
|40|5
|0|0
